n_blocks,combo,model,k,C,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
3,1_3_4,svm_lin,20,1.0,927,0.6075089546611367,0.5570388349514563,0.29713884190800965,0.4683119781262485,0.4843526452014413
3,1_3_4,logreg,30,0.003,927,0.6670279950985013,0.6468446601941747,0.3813851475715637,0.49325886368751526,0.5532578229904175
3,1_3_4,svm_lin,30,0.01,927,0.6716997360731454,0.6492718446601942,0.4909883601853563,0.6582554839953082,0.7796499830748583
3,1_3_4,svm_lin,30,0.1,927,0.7045550947308888,0.6371359223300971,0.5892541463010644,0.768168194034919,0.9148413875908551
3,1_3_4,svm_lin,30,1.0,927,0.704973371665567,0.6237864077669902,0.5835519297989747,0.7877251878550204,0.9109767386649987
3,1_3_4,logreg,40,0.003,927,0.6516754642284853,0.6456310679611651,0.4051080346107483,0.5312103033065796,0.5882812738418579
3,1_3_4,svm_lin,40,0.01,927,0.6555283250070694,0.6456310679611651,0.522248883508585,0.7002454615170701,0.8263192126378787
3,1_3_4,svm_lin,40,0.1,927,0.668029503251956,0.6286407766990292,0.5946024647527282,0.7776617425052168,0.9263912198882106
3,1_3_4,svm_lin,40,1.0,927,0.664206098595532,0.6432038834951457,0.47504912428247764,0.6965381921764838,0.8246308825476122
3,1_3_4,logreg,54,0.003,927,0.6442466302196248,0.6456310679611651,0.4113447666168213,0.5388059020042419,0.5928807258605957
3,1_3_4,svm_lin,54,0.01,927,0.6408768498444717,0.6432038834951457,0.5419018989665034,0.7300311920734509,0.846330380127295
3,1_3_4,svm_lin,54,0.1,927,0.6788104439626732,0.6080097087378641,0.6716977898000495,0.8370980129972041,0.968545079049391
3,1_3_4,svm_lin,54,1.0,927,0.6538139786973325,0.6237864077669902,0.5975861027604936,0.8180681910808117,0.9321103449217288
3,1_3_5,logreg,10,0.003,927,0.5439190781412009,0.5,0.07483968138694763,0.08066664636135101,0.08252302557229996
3,1_3_5,svm_lin,10,0.01,927,0.546057592610048,0.5,0.012997801006596588,0.01524823290584428,0.015678430290571383
3,1_3_5,svm_lin,10,0.1,927,0.5067807993213309,0.5,0.0214506881950008,0.025085750394643596,0.02456632509669229
