n_blocks,combo,model,k,C,gamma,n_est,n_train_windows,auc,acc,youdens_j,j_threshold,p_high_low,p_high_moderate,p_high_high
3,3_4_5,svm_rbf,54,10.0,scale,0,927,0.26935856348383447,0.5,0.0024271844660194164,0.020221077268212286,0.020229887683486585,0.020230501206043184,0.020229010419601602
3,3_4_5,lda,54,nan,na,0,927,0.6282931944575362,0.4733009708737864,0.32766990291262144,0.020692440172256625,0.14276698954619638,0.22706167057339716,0.18795931075967762
3,3_4_5,rf,10,nan,na,200,927,0.5437158308982939,0.5036407766990292,0.1019417475728156,0.085,0.17257281553398057,0.15888349514563105,0.17564320388349514
3,3_4_5,rf,20,nan,na,200,927,0.5390057969648412,0.5024271844660194,0.13834951456310673,0.135,0.19725728155339806,0.2008252427184466,0.20652912621359223
3,3_4_5,rf,30,nan,na,200,927,0.5547618767084551,0.5,0.1626213592233009,0.09,0.12046116504854368,0.13055825242718447,0.1266626213592233
3,3_4_5,rf,40,nan,na,200,927,0.5048838250541993,0.5024271844660194,0.07281553398058249,0.135,0.17094660194174754,0.1920631067961165,0.17802184466019416
3,3_4_5,rf,54,nan,na,200,927,0.5076144075784712,0.5024271844660194,0.06067961165048552,0.125,0.17009708737864074,0.18470873786407768,0.1722087378640777
3,3_4_6,logreg,10,0.003,na,0,902,0.6045633424450938,0.5,0.30097087378640786,0.11613371223211288,0.1079726368188858,0.1376374512910843,0.15521952509880066
3,3_4_6,svm_lin,10,0.01,na,0,902,0.6102365915731925,0.5,0.2888349514563108,0.005703652317805979,0.009881392379529542,0.013486407604188047,0.013839251950025009
3,3_4_6,svm_lin,10,0.1,na,0,902,0.5667416815911018,0.49393203883495146,0.2038834951456311,0.0065772494230640615,0.03473174313851652,0.042789784945513915,0.024333665545300445
3,3_4_6,svm_lin,10,1.0,na,0,902,0.554411348854746,0.470873786407767,0.18689320388349506,0.035814546099802065,0.08836691201070265,0.12289246473265315,0.080571559627433
3,3_4_6,svm_rbf,10,0.1,auto,0,902,0.4663463804317089,0.5,0.16504854368932037,0.17037504371728476,0.17037504371713327,0.1703750437170916,0.17037504371321413
3,3_4_6,svm_rbf,10,0.1,scale,0,902,0.4656924545197474,0.5,0.16262135922330095,0.17037466184358896,0.17037466184343747,0.17037466184339578,0.17037466183951833
3,3_4_6,svm_rbf,10,1.0,auto,0,902,0.46122101517579417,0.5,0.15776699029126212,0.08298778142785726,0.08298778142765563,0.0829877814276012,0.08298778142269614
3,3_4_6,svm_rbf,10,1.0,scale,0,902,0.4613358940522198,0.5,0.15776699029126212,0.08298514741018498,0.08298514740998862,0.08298514740993418,0.08298514740502905
3,3_4_6,svm_rbf,10,10.0,auto,0,902,0.596624917522858,0.5,0.2936893203883495,0.058999173227378555,0.058999173227730003,0.05899917322749482,0.0589991732273242
3,3_4_6,svm_rbf,10,10.0,scale,0,902,0.5965984070129136,0.5,0.2936893203883495,0.05900904110153327,0.05900904110188486,0.059009041101649506,0.059009041101479386
3,3_4_6,lda,10,nan,na,0,902,0.571201338486191,0.49029126213592233,0.21601941747572817,0.005746124314538821,0.04011475064614541,0.051828966025278186,0.032396467153033126
3,3_4_6,logreg,20,0.003,na,0,902,0.6451892261287586,0.5,0.27184466019417475,0.07397963851690292,0.07040596008300781,0.10141296684741974,0.11545582860708237
3,3_4_6,svm_lin,20,0.01,na,0,902,0.6309147893298143,0.4975728155339806,0.24757281553398058,0.001575529081105071,0.021881246098589085,0.027585517203199485,0.025389255331922593
3,3_4_6,svm_lin,20,0.1,na,0,902,0.6148199641813554,0.5,0.2184466019417476,0.0006323718075437576,0.017507270889949342,0.026352557178858028,0.021062426050889364
3,3_4_6,svm_lin,20,1.0,na,0,902,0.6097476199453294,0.5,0.22572815533980584,0.00021702422859757868,0.014382934399555885,0.03155610765982906,0.02170943791346499
3,3_4_6,svm_rbf,20,0.1,auto,0,902,0.3891035912904138,0.5,0.0970873786407767,0.24435924116798977,0.2443591888537639,0.2443591970076221,0.24435910854255188
3,3_4_6,svm_rbf,20,0.1,scale,0,902,0.38909770006598166,0.5,0.0970873786407767,0.24435924294819686,0.2443591906339745,0.2443591987878321,0.24435911032276816
3,3_4_6,svm_rbf,20,1.0,auto,0,902,0.3714034074842115,0.5,0.09223300970873786,0.1623784859057133,0.16237821388067813,0.1623782619467575,0.16237782284300895
3,3_4_6,svm_rbf,20,1.0,scale,0,902,0.3714122443208597,0.5,0.09223300970873786,0.1624057849989,0.16240551290296212,0.16240556098200873,0.16240512176319283
3,3_4_6,svm_rbf,20,10.0,auto,0,902,0.3872743661042511,0.5,0.10436893203883495,0.14239527397570173,0.14239498909258927,0.142395048722092,0.1423945624909118
3,3_4_6,svm_rbf,20,10.0,scale,0,902,0.38728320294089924,0.5,0.10436893203883495,0.1423638428978294,0.1423635581506984,0.14236361776757714,0.14236313169688797
3,3_4_6,lda,20,nan,na,0,902,0.618973277405976,0.4975728155339806,0.23786407766990292,0.001151543723201026,0.01722397364743769,0.016602787117778146,0.011858518497811072
3,3_4_6,logreg,30,0.003,na,0,902,0.6419372702422471,0.5,0.26941747572815533,0.0812424048781395,0.08500251173973083,0.13103966414928436,0.1441260427236557
3,3_4_6,svm_lin,30,0.01,na,0,902,0.6325054199264776,0.49514563106796117,0.2645631067961165,0.007810117524135451,0.02670768513542468,0.04893287751236971,0.035490644956682874
3,3_4_6,svm_lin,30,0.1,na,0,902,0.6304965123951363,0.4975728155339806,0.25970873786407767,0.0009824956157354961,0.012740144050497577,0.022069037487354077,0.012333155809041504
3,3_4_6,svm_lin,30,1.0,na,0,902,0.6270206899802055,0.5,0.24757281553398058,9.952922007983833e-05,0.0013288791581186155,0.004107418974554307,0.0016785209345908261
3,3_4_6,svm_rbf,30,0.1,auto,0,902,0.3418147327740597,0.5,0.04611650485436894,0.26771827245880175,0.2677180642781845,0.26771811083561725,0.26771782080536805
3,3_4_6,svm_rbf,30,0.1,scale,0,902,0.3418147327740597,0.5,0.04611650485436894,0.267733134330974,0.2677329261405402,0.26773297270015206,0.26773268265623024
3,3_4_6,svm_rbf,30,1.0,auto,0,902,0.32988500329908566,0.5,0.04368932038834951,0.11931289849774228,0.11931242281559866,0.11931256253621086,0.11931192962930175
3,3_4_6,svm_rbf,30,1.0,scale,0,902,0.32988500329908566,0.5,0.04368932038834951,0.11932890650006944,0.11932843078205477,0.11932857051318135,0.11932793756033803
3,3_4_6,svm_rbf,30,10.0,auto,0,902,0.32711023659157323,0.5,0.03155339805825243,0.10200480413306982,0.10200430922012196,0.10200453514816021,0.10200391200366071
3,3_4_6,svm_rbf,30,10.0,scale,0,902,0.327098454142709,0.5,0.03155339805825243,0.10202676315452287,0.10202626807410595,0.10202649400793866,0.1020258705974491
3,3_4_6,lda,30,nan,na,0,902,0.6385910547648224,0.5,0.2669902912621359,0.0007039105252791354,0.004418078302133339,0.008694246826090258,0.006873469929119347
3,3_4_6,logreg,40,0.003,na,0,902,0.6523647374870393,0.5,0.2791262135922331,0.057653192430734634,0.08107468485832214,0.12800036370754242,0.14201562106609344
3,3_4_6,svm_lin,40,0.01,na,0,902,0.638567489867094,0.49514563106796117,0.25485436893203883,0.0029053962852102675,0.02106091727761005,0.04527738286028362,0.02647631952280351
3,3_4_6,svm_lin,40,0.1,na,0,902,0.6206051465736638,0.4854368932038835,0.25,0.00042703318652082635,0.05363564166081479,0.15369219645834373,0.0951815453002515
3,3_4_6,svm_lin,40,1.0,na,0,902,0.6152676972381941,0.4842233009708738,0.23786407766990292,0.0013292800376693693,0.09017701297673002,0.23332366895085652,0.16558726214215244
3,3_4_6,svm_rbf,40,0.1,auto,0,902,0.28099373173720427,0.5,0.0024271844660194164,0.26719153290589565,0.26719261056672966,0.2671926416795143,0.2671925335024267
3,3_4_6,svm_rbf,40,0.1,scale,0,902,0.28099373173720427,0.5,0.0024271844660194164,0.26719153049905997,0.2671926081597631,0.267192639272544,0.26719253109547
3,3_4_6,svm_rbf,40,1.0,auto,0,902,0.2746371005749835,0.5,0.0024271844660194164,0.16931583059512761,0.16931756435785747,0.16931762682944568,0.169317439550438
3,3_4_6,svm_rbf,40,1.0,scale,0,902,0.27463710057498353,0.5,0.0024271844660194164,0.16931948240055586,0.16932121621110627,0.16932127868446098,0.16932109139990148
3,3_4_6,svm_rbf,40,10.0,auto,0,902,0.3385627768875483,0.5,0.03640776699029127,0.2141192371509471,0.21411911395260277,0.2141191814523029,0.2141190643508043
3,3_4_6,svm_rbf,40,10.0,scale,0,902,0.3386216891318692,0.5,0.03640776699029127,0.21409987284430468,0.21409974958100886,0.21409981705278472,0.214099700030161
3,3_4_6,lda,40,nan,na,0,902,0.6403996606654727,0.4854368932038835,0.2645631067961165,0.001601467872614902,0.042083425877197336,0.08859810233680492,0.05418991166440921
3,3_4_6,logreg,54,0.003,na,0,902,0.6399990574040908,0.49029126213592233,0.27184466019417475,0.09200258553028107,0.09909211099147797,0.1704084873199463,0.17330870032310486
3,3_4_6,svm_lin,54,0.01,na,0,902,0.631586388915072,0.4878640776699029,0.27427184466019416,0.005200674012443881,0.03876241627070417,0.09011293419875634,0.05375228625607335
3,3_4_6,svm_lin,54,0.1,na,0,902,0.6523706287114713,0.4963592233009709,0.3106796116504854,0.0047258702276173885,0.09187030738963854,0.20336894093956365,0.17017487012811633
3,3_4_6,svm_lin,54,1.0,na,0,902,0.663175134319917,0.5509708737864077,0.3252427184466019,0.01763510251491973,0.16280274941689554,0.3112003128091094,0.3461585128601385
3,3_4_6,svm_rbf,54,0.1,auto,0,902,0.2723277405976058,0.5,0.0024271844660194164,0.2700547958423448,0.2700706599355791,0.27007141821501107,0.270069443281107
3,3_4_6,svm_rbf,54,0.1,scale,0,902,0.2723277405976058,0.5,0.0024271844660194164,0.2700547969188794,0.2700706610105467,0.270071419289901,0.2700694443562084
3,3_4_6,svm_rbf,54,1.0,auto,0,902,0.2670786596286172,0.5,0.0024271844660194164,0.15496177284242799,0.15498233737896303,0.15498355425449498,0.1549805888591942
3,3_4_6,svm_rbf,54,1.0,scale,0,902,0.2670845508530493,0.5,0.0024271844660194164,0.15504239706305173,0.15506296890521898,0.15506418614772557,0.1550612197935557
3,3_4_6,svm_rbf,54,10.0,auto,0,902,0.26623621453482893,0.5,0.002427184466019418,0.058977132017572896,0.05897614139195988,0.05897663286531901,0.0589755158122718
3,3_4_6,svm_rbf,54,10.0,scale,0,902,0.26623621453482893,0.5,0.002427184466019418,0.058978104171454306,0.05897711349266214,0.05897760499127496,0.05897648788339821
3,3_4_6,lda,54,nan,na,0,902,0.6709868979168631,0.4890776699029126,0.32766990291262144,0.0013520740919023822,0.058241462691266434,0.11157104906378448,0.07615806085302329
3,3_4_6,rf,10,nan,na,200,902,0.6936828400414742,0.5351941747572816,0.29854368932038844,0.325,0.32325242718446595,0.3494660194174758,0.3938228155339806
3,3_4_6,rf,20,nan,na,200,902,0.5695341219719108,0.5036407766990292,0.1092233009708738,0.365,0.2524757281553398,0.26490291262135923,0.28110436893203883
3,3_4_6,rf,30,nan,na,200,902,0.5107367565274767,0.5060679611650486,0.07038834951456308,0.25,0.2803398058252427,0.3149029126213592,0.2995388349514563
3,3_4_6,rf,40,nan,na,200,902,0.4771037562446979,0.5036407766990292,0.06796116504854377,0.2,0.2757766990291262,0.3125242718446602,0.28211165048543685
3,3_4_6,rf,54,nan,na,200,902,0.4818785936469036,0.5,0.06553398058252424,0.2,0.24997572815533983,0.27728155339805827,0.2545024271844661
3,3_5_6,logreg,10,0.003,na,0,902,0.5419219530587237,0.4878640776699029,0.13592233009708743,0.03153040260076523,0.10716354846954346,0.09739355742931366,0.09392902255058289
3,3_5_6,svm_lin,10,0.01,na,0,902,0.5454684701668395,0.4963592233009709,0.14077669902912626,0.007124791673493529,0.06515442888932156,0.05974835572792691,0.055083224599199
3,3_5_6,svm_lin,10,0.1,na,0,902,0.5733221792817419,0.4963592233009709,0.1747572815533981,0.00028292170074399126,0.021621142706100032,0.004359556698178272,0.00902960236736711
3,3_5_6,svm_lin,10,1.0,na,0,902,0.6098359883118109,0.49150485436893204,0.220873786407767,1.7750236048212902e-05,0.02758506384023903,0.0002281257665005938,0.004250351613478841
3,3_5_6,svm_rbf,10,0.1,auto,0,902,0.39742200018851914,0.42597087378640774,0.01699029126213592,0.5440998079067138,0.4871823692116567,0.497747594509452,0.48372895043708897
3,3_5_6,svm_rbf,10,0.1,scale,0,902,0.39742200018851914,0.42597087378640774,0.01699029126213592,0.5440998148801135,0.48718237312853085,0.497747599013877,0.48372895419251516
